SPEAKER|intervistatore|m|s
﻿1	Cosa	cosa	P	PQ	num=s|gen=n	2	obj
2	fai	fare	V	V	num=s|per=2|mod=i|ten=p	0	ROOT	io faccio, tu fai, lui/lei/Lei fa, noi facciamo, voi fate, loro fanno
3	nel	in	E	EA	num=s|gen=m	2	comp
4	tempo	tempo	S	S	num=s|gen=m	3	prep
5	libero	libero	A	A	num=s|gen=m	4	mod
6	?	?	F	FS	_	2	punc

SPEAKER|ragazza 1|f|s
1	Esco	uscire	V	V	num=s|per=1|mod=i|ten=p	0	ROOT	io esco, tu esci, lui/lei/Lei esce, noi usciamo, voi uscite, loro escono
2	con	con	E	E	_	1	comp
3	gli	il	R	RD	num=p|gen=m	4	det
4	amici	amico	S	S	num=p|gen=m	2	prep
5	.	.	F	FS	_	1	punc

SPEAKER|ragazza 2|f|s
1	Mi	mi	P	PC	num=s|per=1|gen=n	2	comp_ind
2	piace	piacere	V	V	num=s|per=3|mod=i|ten=p	0	ROOT	io piaccio, tu piaci, lui/lei/Lei piace, noi piacciamo, voi piacete, loro piacciono
3	andare	andare	V	V	mod=f	2	subj
4	a	a	E	E	_	3	arg
5	correre	correre	V	V	mod=f	4	prep
6	e	e	C	CC	_	5	con
7	fare	fare	V	V	mod=f	5	subj
8	sport	sport	S	S	num=s|gen=m	7	obj
9	.	.	F	FS	_	2	punc

SPEAKER|ragazza 3|f|s
1	Se	se	C	CS	_	7	mod
2	ho	avere	V	VA	num=s|per=1|mod=i|ten=p	4	aux	io ho, tu hai, lui/lei/Lei ha, noi abbiamo, voi avete, loro hanno
3	tempo	tempo	S	S	num=s|gen=m	4	mod
4	libero	libero	A	A	num=s|gen=m	1	sub
5	,	,	F	FF	_	1	punc
6	mi	mi	P	PC	num=s|per=1|gen=n	7	comp_ind
7	piace	piacere	V	V	num=s|per=3|mod=i|ten=p	0	ROOT	io piaccio, tu piaci, lui/lei/Lei piace, noi piacciamo, voi piacete, loro piacciono
8	fare	fare	V	V	mod=f	7	subj
9	shopping	shopping	S	SW	num=s|gen=m	8	obj
10	,	,	F	FF	_	7	con
11	guardare	guardare	V	V	mod=f	7	subj
12	la	il	R	RD	num=s|gen=f	13	det
13	televisione	televisione	S	S	num=s|gen=f	11	obj
14	,	,	F	FF	_	11	con
15	ascoltare	ascoltare	V	V	mod=f	11	subj
