SPEAKER|Samira|f|s
﻿1	Buongiorno	buongiorno	I	I	_	0	ROOT
2	.	.	F	FS	_	1	punc

SPEAKER|Segretaria|f|s
1	Buongiorno	buongiorno	I	I	_	4	mod
2	,	,	F	FF	_	1	punc
3	si	si	P	PC	num=n|per=3|gen=n	4	clit
4	accomodi	accomodare	V	V	num=s|per=3|mod=c|ten=p	0	ROOT
5	pure	pure	B	B	_	4	mod
6	.	.	F	FS	_	4	punc

SPEAKER|Segretaria|f|s
1	Mi	mi	P	PC	num=s|per=1|gen=n	2	comp_ind
2	dica	dire	V	V	num=s|per=3|mod=c|ten=p	0	ROOT
3	.	.	F	FS	_	2	punc

SPEAKER|Samira|f|s
1	Dunque	dunque	B	B	_	4	mod
2	,	,	F	FF	_	1	punc
3	sto	stare	V	V	num=s|per=1|mod=i|ten=p	4	modal	io sto, tu stai, lui/lei/Lei sta, noi stiamo, voi state, loro stanno
4	cercando	cercare	V	V	mod=g	0	ROOT
5	un	uno	R	RI	num=s|gen=m	6	det
6	lavoro	lavoro	S	S	num=s|gen=m	4	obj
7	;	;	F	FC	_	4	punc
8	cosa	cosa	P	PQ	num=s|gen=n	10	subj
9	devo	dovere	V	VM	num=s|per=1|mod=i|ten=p	10	modal	io devo, tu devi, lui/lei/Lei deve, noi dobbiamo, voi dovete, loro devono
10	fare	fare	V	V	mod=f	4	conj
11	?	?	F	FS	_	4	punc

SPEAKER|Segretaria|f|s
1	Per	per	E	E	_	5	comp
2	prima	primo	N	NO	num=s|gen=f	1	prep
3	cosa	cosa	P	PQ	num=s|gen=n	5	subj
4	deve	dovere	V	VM	num=s|per=3|mod=i|ten=p	5	modal	io devo, tu devi, lui/lei/Lei deve, noi dobbiamo, voi dovete, loro devono
5	iscriversi	iscrivere	V	V	mod=f	0	ROOT
6	al	a	E	EA	num=s|gen=m	5	comp
7	centro	centro	S	S	num=s|gen=m	6	prep
8	per	per	E	E	_	7	comp
9	l'	il	R	RD	num=s|gen=m	10	det
10	impiego	impiego	S	S	num=s|gen=m	8	prep	impiego/impieghi
11	.	.	F	FS	_	5	punc

SPEAKER|Samira|f|s
1	Come	come	B	B	_	3	mod
2	si	si	P	PC	num=n|per=3|gen=n	3	clit
3	fa	fare	V	V	num=s|per=3|mod=i|ten=p	0	ROOT	io faccio, tu fai, lui/lei/Lei fa, noi facciamo, voi fate, loro fanno
4	?	?	F	FS	_	3	punc

SPEAKER|Segretaria|f|s
1	Posso	potere	V	VM	num=s|per=1|mod=i|ten=p	2	modal	io posso, tu puoi, lui/lei/Lei può, noi possiamo, voi potete, loro possono
2	aiutarla	aiutare	V	V	mod=f	0	ROOT
3	adesso	adesso	B	B	_	2	comp
4	io	io	P	PE	num=s|per=1|gen=f	1	subj
5	a	a	E	E	_	4	arg
6	farlo	fare	V	V	mod=f	5	prep
7	.	.	F	FS	_	2	punc

SPEAKER|Samira|f|s
1	Va	andare	V	V	num=s|per=3|mod=i|ten=p	0	ROOT	io vado, tu vai, lui/lei/Lei va, noi andiamo, voi andate, loro vanno
2	bene	bene	B	B	_	1	mod
3	,	,	F	FF	_	4	punc
4	grazie	grazie	I	I	_	1	mod
5	.	.	F	FS	_	4	punc

SPEAKER|Segretaria|f|s
1	Dopodiché	dopodiché	B	B	_	8	mod
2	,	,	F	FF	_	1	punc
3	quando	quando	C	CS	_	8	mod
