SPEAKER|commerciante donna|f|s
1	Buongiorno	buongiorno	I	I	_	0	ROOT
2	!	!	F	FS	_	1	punc

SPEAKER|ragazza|f|s
1	Buongiorno	buongiorno	I	I	_	3	mod
2	,	,	F	FF	_	1	punc
3	signora	signore	S	S	num=s|gen=f	0	ROOT
4	.	.	F	FS	_	3	punc

SPEAKER|commerciante donna|f|s
1	Cosa	cosa	P	PQ	num=s|gen=n	2	subj
2	desidera	desiderare	V	V	num=s|per=3|mod=i|ten=p	0	ROOT	io desidero, tu desideri, lui/lei/Lei desidera, noi desideriamo, voi desiderate, loro desiderano
3	?	?	F	FS	_	2	punc

SPEAKER|ragazza|f|s
1	Allora	allora	B	B	_	5	mod
2	,	,	F	FF	_	1	punc
3	vorrei	volere	V	VM	num=s|per=1|mod=d|ten=p	5	modal
4	mezzo	mezzo	A	A	num=s|gen=m	5	mod
5	chilo	chilo	S	S	num=s|gen=m	0	ROOT
6	di	di	E	E	_	5	comp
7	pomodori	pomodoro	S	S	num=p|gen=m	6	prep
8	,	,	F	FF	_	7	con
9	perfavore	perfavore	S	S	num=p|gen=f	7	conj
10	.	.	F	FS	_	5	punc

SPEAKER|commerciante donna|f|s
1	Serve	servire	V	V	num=s|per=3|mod=i|ten=p	0	ROOT	io servo, tu servi, lui/lei/Lei serve, noi serviamo, voi servite, loro servono
2	altro	altro	P	PI	num=s|gen=m	1	subj
3	,	,	F	FF	_	4	punc
4	signora	signore	S	S	num=s|gen=f	1	subj
5	?	?	F	FS	_	1	punc

SPEAKER|ragazza|f|s
1	Sì	sì	B	B	_	4	mod
2	,	,	F	FF	_	1	punc
3	un	uno	R	RI	num=s|gen=m	4	det
4	pacco	pacco	S	S	num=s|gen=m	0	ROOT
5	di	di	E	E	_	4	comp
6	riso	riso	S	S	num=s|gen=m	5	prep
7	e	e	C	CC	_	4	con
8	due	due	N	N	_	9	mod
9	peperoni	peperone	S	S	num=p|gen=m	4	conj
10	gialli	giallo	A	A	num=p|gen=m	9	mod
11	.	.	F	FS	_	4	punc

SPEAKER|commerciante donna|f|s
1	Ecco	ecco	B	B	_	2	mod
2	qui	qui	B	B	_	0	ROOT
3	.	.	F	FS	_	2	punc

SPEAKER|ragazza|f|s
1	Grazie	Grazie	I	I	num=p|gen=f	0	ROOT
2	.	.	F	FS	_	1	punc

SPEAKER|ragazza|f|s
1	Mi	mi	P	PC	num=s|per=1|gen=n	2	comp_ind
2	dà	dare	V	V	num=s|per=3|mod=i|ten=p	0	ROOT	io do, tu dai, lui/lei/Lei dà, noi diamo, voi date, loro danno
3	anche	anche	B	B	_	5	mod
4	sei	sei	N	N	_	5	mod
5	peperoncini	peperoncino	S	S	num=p|gen=m	2	obj
6	piccanti	piccante	A	A	num=p|gen=m	5	mod
7	,	,	F	FF	_	2	con
8	perfavore	perfavore	S	S	num=p|gen=f	2	subj
9	?	?	F	FS	_	2	punc

SPEAKER|commerciante donna|f|s
1	Certo	certo	B	B	_	0	ROOT
2	!	!	F	FS	_	1	punc

SPEAKER|commerciante donna|f|s
1	Facciamo	fare	V	V	num=p|per=1|mod=i|ten=p	0	ROOT	io faccio, tu fai, lui/lei/Lei fa, noi facciamo, voi fate, loro fanno
2	due	due	N	N	_	3	mod
3	rossi	rosso	S	S	num=p|gen=m	1	obj
4	,	,	F	FF	_	3	con
5	due	due	N	N	_	6	mod
6	gialli	giallo	S	S	num=p|gen=m	3	conj
7	e	e	C	CC	_	3	con
8	due	due	N	N	_	9	mod
